bug,nloc,CCN,function_numbers,token_count,parameter_count
6b6b604215c6,1329,82,17,8179,30
95f0b77ef,94,1,1,611,1
75bf47ebf6b5,42,4,2,321,3
13c589d5b0ac,151,13,3,1023,7
02051ca06371,862,67,27,7014,33
80548b03991f,254,0,0,2028,0
1ea29b39f4c812ec,325,50,13,1951,27
41d2e4949377,102,14,3,707,5
0a53bc07f044,157,12,3,1041,3
84601dbdea36,206,0,0,1211,0
67ab7f596b6adbae,42,0,0,377,0
1453863fb02a,393,65,10,2163,14
f80fb3a3d508,395,22,6,1376,8
0d7df906a0e78,114,0,0,740,0
51fd36738383,193,2,1,1178,1
dce4551cb2ad,72,0,0,536,0
87d5e4155c00,34,0,0,233,0
eac1e731b59e,598,23,14,3174,14
e32ea7e74727,315,0,0,2478,0
d1f1b9cbf34c,120,30,10,889,0
b9be6f18cf9e,888,189,19,5822,41
b8a7a3a66747,275,0,0,1867,0
ef9e1cdf419a3,92,0,0,569,0
b6a2fea39318,1005,32,1,6695,2
4b94ffdc4163,408,0,0,2978,0
d285203cf647,563,0,0,3753,0
5b06bbcfc2c6,13,0,0,122,0
0c72c50f6f93,7,0,0,67,0
a0e72cf12b1a,140,31,8,895,8
ed2f549dc0f6,9,0,0,56,0
666d5b4c742b,37,4,2,223,4
c03f2c536818,540,65,25,2912,49
6a0b6174d35a,1401,5,2,12035,4
f2ae04c45b1a,1043,3,3,8463,3
658bcdae9c67,907,153,29,5865,113
538af88ea7d9de24,60,0,0,493,0
80b28791ff04,63,2,1,373,3
aee636c4809f,126,0,0,743,0
d52c9750f150,106,0,0,756,0
ba82664c134ef,1011,199,53,6400,94
f0f56716fc3e,27,2,2,190,2
12a169e7d8f4,536,3,2,3714,3
19372e2769179dd,28,0,0,209,0
e7175a692765,96,0,0,640,0
1256ea18875d,44,0,0,200,0
f214f915e7db,59,0,0,496,0
4c1ec1f930154,251,6,1,1618,3
668592492409,176,17,6,1081,12
bcdbde433542,14,0,0,80,0
c25323c07345,15,5,1,111,1
f409079bb678,10,0,0,96,0
3b463ae0c626,233,0,0,1431,0
36e8164882ca,16,0,0,92,0
4c3523623dc0,2911,231,44,17203,0
724b2aa15126,231,0,0,1749,0
2d3391ec0ecc,258,0,0,1467,0
abda97c2fe874,161,17,6,1020,8
9ac33b0ce81f,225,27,11,1368,19
3fb69c6a1a13,39,0,0,315,0
0a2aa8fbb969,265,0,0,1878,0
a98ee79317b4,14,0,0,97,0
5e95329b701c,266,42,8,1637,8
6fe6611ff275,656,91,36,4269,63
22a613e89825,107,8,8,592,10
89aa075832b0,89,12,8,487,11
3a9f5957020f,214,29,11,1348,21
ce4a4e565f52,120,4,2,617,3
ebece7539242,423,51,12,2769,21
f6e6ab1d16ec,34,0,0,195,0
947cbb0ac242,94,12,2,648,6
18743d2781d0,577,13,4,3487,6
de98ced9e743,59,0,0,397,0
7533fdc0f77f,240,0,0,1505,0
5aa3771ded54,55,0,0,488,0
7f26cb88014a,19,2,2,148,3
5fd96123ee19,144,24,3,1081,7
0366a1c70b89,132,13,4,821,4
692d7b5d1f91,338,0,0,2335,0
dbe4058a6a44,25,0,0,254,0
2c87d6a94d16,36,0,0,270,0
b58f28f306db,120,9,8,732,10
3e32cb2e0a12,1236,20,9,5996,15
30b0463a9394d9,95,2,1,641,3
84e0c4e5e2c4,742,108,13,4032,45
e525f8a6e696,57,0,0,384,0
6b59808bfe48,45,0,0,326,0
8237f8bc4f6e,180,27,10,1041,16
63a4681ff39c,732,0,0,5945,0
5335ba5cf475,250,7,1,1768,1
bd3dda9ab0fb,16,3,1,180,0
487f05e18aa4,84,7,3,569,4
67800f9b1f4e,48,0,0,464,0
b4d72c08b358,648,0,0,3895,0
9445464bb831,13,0,0,177,0
5a3ad937bc78,18,5,1,152,3
9f9c4180f88d,264,2,2,1727,4
1a476abc723e,742,104,18,3368,35
5de73ee46704,196,3,1,1101,3
c0e88ff0f256,94,29,5,795,12
931bc0d91639f8fb,46,0,0,180,0
0f5a5712ad1e,113,2,2,801,0
db65a3aaf29e,43,0,0,295,0
e126ba97dba9e,11952,1854,416,73599,935
acc9ab601327,17,0,0,141,0
eb781397904e,14,0,0,94,0
b868db94a6a7,268,27,14,1588,25
b5e2ced9bf81,19,1,1,159,1
b430eaba0be5,84,0,0,523,0
55917a21d0cc,52,2,2,362,2
5a023cdba50c,139,29,10,883,20
c5c4d92e70f3,154,3,2,1197,2
2bcd3ecab773,56,3,2,408,3
b5cdae3291f7,249,24,4,1542,7
36e53349b60b,125,7,3,827,3
1690d8bb91e37,73,0,0,466,0
31b515106428,298,32,4,2012,10
