author,commits_number,bug_commits_number,total_fix_distance,total_find_bug_time,total_fix_bug_time,bug_ratio,average_fix_distance,average_find_bug_time,average_fix_bug_time,total_find_bug_time_day,total_fix_bug_time_day,average_find_bug_time_day,average_fix_bug_time_day
Zhuoyu Zhang,1,1,1.5,3093867.0,3580613.0,1.0,1.5,3093867.0,3580613.0,35.80864583333334,41.44228009259259,35.80864583333334,41.44228009259259
YunQiang Su,2,1,1.0,1698203.0,1698203.0,0.5,1.0,1698203.0,1698203.0,19.655127314814816,19.655127314814816,19.655127314814816,19.655127314814816
Yaogong Wang,1,1,1.0,547537.0,547537.0,1.0,1.0,547537.0,547537.0,6.337233796296296,6.337233796296296,6.337233796296296,6.337233796296296
Yan Laijun,1,1,1.0,76652347.0,76652347.0,1.0,1.0,76652347.0,76652347.0,887.1799421296296,887.1799421296296,887.1799421296296,887.1799421296296
Yangchun Fu,1,1,1.0,1551171.0,1551171.0,1.0,1.0,1551171.0,1551171.0,17.953368055555554,17.953368055555554,17.953368055555554,17.953368055555554
Wilson Ding,1,1,1.0,10442039.0,10442039.0,1.0,1.0,10442039.0,10442039.0,120.85693287037037,120.85693287037037,120.85693287037037,120.85693287037037
Wen Shi,1,1,1.4,12634.2,21056.0,1.0,1.4,12634.2,21056.0,0.1462291666666667,0.2437037037037037,0.1462291666666667,0.2437037037037037
Waibel Georg,2,1,2.0,-1342222.0,1272871.0,0.5,2.0,-1342222.0,1272871.0,-15.534976851851852,14.732303240740741,-15.534976851851852,14.732303240740741
Vunny Sodhi,1,1,1.0,276518.0,276518.0,1.0,1.0,276518.0,276518.0,3.200439814814815,3.200439814814815,3.200439814814815,3.200439814814815
Vitaly Katraew,1,1,1.0,69591023.0,69591023.0,1.0,1.0,69591023.0,69591023.0,805.4516550925925,805.4516550925925,805.4516550925925,805.4516550925925
Vincent Fann,1,1,1.0,12060903.0,12060903.0,1.0,1.0,12060903.0,12060903.0,139.5937847222222,139.5937847222222,139.5937847222222,139.5937847222222
Vijay Rai,1,1,1.2,78984049.6,82937618.0,1.0,1.2,78984049.6,82937618.0,914.1672407407407,959.9261342592592,914.1672407407407,959.9261342592592
Vallish Vaidyeshwara,1,1,1.0,49332835.0,49332835.0,1.0,1.0,49332835.0,49332835.0,570.9818865740741,570.9818865740741,570.9818865740741,570.9818865740741
Tom Cooksey,1,1,2.0,2218562.0,3275046.0,1.0,2.0,2218562.0,3275046.0,25.677800925925926,37.905625,25.677800925925926,37.905625
Ting Shen,1,1,1.0,5325082.0,5325082.0,1.0,1.0,5325082.0,5325082.0,61.63289351851852,61.63289351851852,61.63289351851852,61.63289351851852
Tianping Fang,1,1,1.25,143170824.75,145160413.0,1.0,1.25,143170824.75,145160413.0,1657.0697309027778,1680.0973726851853,1657.0697309027778,1680.0973726851853
Ted Mielczarek,1,1,1.3333333333333333,44375346.333333336,51777954.66666666,1.0,1.3333333333333333,44375346.333333336,51777954.66666666,513.6035455246914,599.2818827160493,513.6035455246914,599.2818827160493
Tamizh Chelvam,6,1,1.0,2810418.0,2810418.0,0.16666666666666666,1.0,2810418.0,2810418.0,32.52798611111111,32.52798611111111,32.52798611111111,32.52798611111111
Taketo Kabe,1,1,1.0,9181047.0,9181047.0,1.0,1.0,9181047.0,9181047.0,106.26211805555556,106.26211805555556,106.26211805555556,106.26211805555556
stuart hayes,1,1,3.0,5053538.0,83222918.0,1.0,3.0,5053538.0,83222918.0,58.49002314814815,963.2282175925926,58.49002314814815,963.2282175925926
Steve Whitehouse,1,1,1.0,20534846.0,20534846.0,1.0,1.0,20534846.0,20534846.0,237.6718287037037,237.6718287037037,237.6718287037037,237.6718287037037
Steven Haigh,1,1,9.0,24775475.0,261937483.0,1.0,9.0,24775475.0,261937483.0,286.7531828703704,3031.6838310185185,286.7531828703704,3031.6838310185185
Steven Barth,1,1,2.333333333333333,18807649.0,71176401.0,1.0,2.333333333333333,18807649.0,71176401.0,217.6811226851852,823.8009375,217.6811226851852,823.8009375
Steve Moskovchenko,1,1,1.0,7368657.0,7368657.0,1.0,1.0,7368657.0,7368657.0,85.28538194444444,85.28538194444444,85.28538194444444,85.28538194444444
Simon Schwartz,1,1,1.0,3179781.0,3179781.0,1.0,1.0,3179781.0,3179781.0,36.803020833333335,36.803020833333335,36.803020833333335,36.803020833333335
Simon Ho,1,1,1.0,316739.0,316739.0,1.0,1.0,316739.0,316739.0,3.665960648148148,3.665960648148148,3.665960648148148,3.665960648148148
Siebren Vroegindeweij,1,1,1.0,1295932.0,1295932.0,1.0,1.0,1295932.0,1295932.0,14.999212962962963,14.999212962962963,14.999212962962963,14.999212962962963
Shen Guang,1,1,2.0,21977201.0,142865635.0,1.0,2.0,21977201.0,142865635.0,254.3657523148148,1653.5374421296297,254.3657523148148,1653.5374421296297
Shefali Jain,1,1,1.0,2573956.0,2573956.0,1.0,1.0,2573956.0,2573956.0,29.791157407407407,29.791157407407407,29.791157407407407,29.791157407407407
Sharvari Harisangam,1,1,1.0,15586020.0,15586020.0,1.0,1.0,15586020.0,15586020.0,180.39375,180.39375,180.39375,180.39375
Shahar Patury,1,1,1.0,1385924.0,1385924.0,1.0,1.0,1385924.0,1385924.0,16.04078703703704,16.04078703703704,16.04078703703704,16.04078703703704
Seth Levy,1,1,2.0,98018821.0,240788724.0,1.0,2.0,98018821.0,240788724.0,1134.4770949074075,2786.9065277777777,1134.4770949074075,2786.9065277777777
Sergey Bostandzhyan,1,1,1.0,7210367.0,7210367.0,1.0,1.0,7210367.0,7210367.0,83.45332175925925,83.45332175925925,83.45332175925925,83.45332175925925
Sandipan Patra,3,1,1.4285714285714286,8046893.714285715,10053040.42857143,0.3333333333333333,1.4285714285714286,8046893.714285715,10053040.42857143,93.13534391534392,116.3546345899471,93.13534391534392,116.3546345899471
Ryan Chen,1,1,1.0,6991887.0,6991887.0,1.0,1.0,6991887.0,6991887.0,80.92461805555556,80.92461805555556,80.92461805555556,80.92461805555556
qize wang,1,1,1.0,639281.0,639281.0,1.0,1.0,639281.0,639281.0,7.399085648148148,7.399085648148148,7.399085648148148,7.399085648148148
Pratibhasagar V,1,1,1.0,78950586.0,78950586.0,1.0,1.0,78950586.0,78950586.0,913.7799305555556,913.7799305555556,913.7799305555556,913.7799305555556
Philip Attfield,1,1,1.0,17347969.0,17347969.0,1.0,1.0,17347969.0,17347969.0,200.78667824074074,200.78667824074074,200.78667824074074,200.78667824074074
Peter Dawson,1,1,1.0,550843.0,550843.0,1.0,1.0,550843.0,550843.0,6.375497685185185,6.375497685185185,6.375497685185185,6.375497685185185
Pedro Garcia,1,1,10.0,8090241.0,236041317.0,1.0,10.0,8090241.0,236041317.0,93.63704861111111,2731.9596875,93.63704861111111,2731.9596875
Paul Drews,1,1,1.0,4547254.0,4547254.0,1.0,1.0,4547254.0,4547254.0,52.63025462962963,52.63025462962963,52.63025462962963,52.63025462962963
Patrick Ruddy,1,1,1.0,31039912.0,31039912.0,1.0,1.0,31039912.0,31039912.0,359.25824074074075,359.25824074074075,359.25824074074075,359.25824074074075
Pan Wen,1,1,1.0,40047927.0,40047927.0,1.0,1.0,40047927.0,40047927.0,463.5176736111111,463.5176736111111,463.5176736111111,463.5176736111111
Padmanabhan Rajanbabu,1,1,1.0,1649921.0,1649921.0,1.0,1.0,1649921.0,1649921.0,19.09630787037037,19.09630787037037,19.09630787037037,19.09630787037037
Nina Schiff,1,1,2.0,21293429.5,41482457.0,1.0,2.0,21293429.5,41482457.0,246.45173032407408,480.1210300925926,246.45173032407408,480.1210300925926
Nikunj Kela,1,1,1.0,336543.0,336543.0,1.0,1.0,336543.0,336543.0,3.8951736111111113,3.8951736111111113,3.8951736111111113,3.8951736111111113
Nick Fedchik,1,1,1.0,344499311.0,344499311.0,1.0,1.0,344499311.0,344499311.0,3987.2605439814815,3987.2605439814815,3987.2605439814815,3987.2605439814815
Neil McKee,1,1,3.0,22829457.0,70162224.0,1.0,3.0,22829457.0,70162224.0,264.2298263888889,812.0627777777778,264.2298263888889,812.0627777777778
Minal Shah,1,1,1.0,9873684.0,9873684.0,1.0,1.0,9873684.0,9873684.0,114.27875,114.27875,114.27875,114.27875
Michael Lange,1,1,1.0,7686818.0,7686818.0,1.0,1.0,7686818.0,7686818.0,88.96780092592593,88.96780092592593,88.96780092592593,88.96780092592593
Matt Campbell,1,1,1.0,2931080.0,2931080.0,1.0,1.0,2931080.0,2931080.0,33.924537037037034,33.924537037037034,33.924537037037034,33.924537037037034
Marty Plummer,1,1,1.0,1707969.0,1707969.0,1.0,1.0,1707969.0,1707969.0,19.768159722222222,19.768159722222222,19.768159722222222,19.768159722222222
Martin Liu,1,1,2.0,15753635.0,17027771.0,1.0,2.0,15753635.0,17027771.0,182.33373842592593,197.08068287037037,182.33373842592593,197.08068287037037
Martin Jansen,1,1,3.0,52598335.0,280380717.0,1.0,3.0,52598335.0,280380717.0,608.7770254629629,3245.1471875,608.7770254629629,3245.1471875
Mark Marshall,1,1,1.5,36182491.0,36217183.0,1.0,1.5,36182491.0,36217183.0,418.77883101851853,419.1803587962963,418.77883101851853,419.1803587962963
Mark Furneaux,1,1,2.5,5456083.0,26865916.0,1.0,2.5,5456083.0,26865916.0,63.1491087962963,310.94810185185185,63.1491087962963,310.94810185185185
Mario Rugiero,1,1,1.0,14354993.0,14354993.0,1.0,1.0,14354993.0,14354993.0,166.1457523148148,166.1457523148148,166.1457523148148,166.1457523148148
Marian Rotariu,1,1,1.0,2096875.0,2096875.0,1.0,1.0,2096875.0,2096875.0,24.269386574074073,24.269386574074073,24.269386574074073,24.269386574074073
Marcin Ziemianowicz,1,1,1.0,14151223.0,14151223.0,1.0,1.0,14151223.0,14151223.0,163.78730324074073,163.78730324074073,163.78730324074073,163.78730324074073
Mantas M,1,1,1.5,15617069.5,19863767.0,1.0,1.5,15617069.5,19863767.0,180.75311921296296,229.90471064814815,180.75311921296296,229.90471064814815
