author,number_commits,avg_fix_distance,avg_find_bug_time,avg_fix_bug_time
Руслан Исаев,1,0.0,0.0,0.0
Zyta Szpak,1,0.0,0.0,0.0
Zvi Nachmani,1,0.0,0.0,0.0
Zoran Marceta,1,0.0,0.0,0.0
Zoltan Puskas,1,0.0,0.0,0.0
Zoltan Kuscsik,1,0.0,0.0,0.0
Zoltan Karcagi,1,0.0,0.0,0.0
Zoltan Boszormenyi,1,0.0,0.0,0.0
Zinx Verituse,1,0.0,0.0,0.0
zino lin,1,0.0,0.0,0.0
Zimny Lech,1,0.0,0.0,0.0
Zilvinas Valinskas,1,0.0,0.0,0.0
Zh-yuan Ye,1,0.0,0.0,0.0
Zhu Qingsen,1,0.0,0.0,0.0
Zhuoyu Zhang,1,1.5,3093867.0,3580613.0
Zhuohua Li,1,0.0,0.0,0.0
Zhuo-hao Lee,1,0.0,0.0,0.0
Zhuang Yuyao,1,0.0,0.0,0.0
Zhuang Yanying,1,0.0,0.0,0.0
Zhou Zhengping,1,0.0,0.0,0.0
Zhonghui Fu,1,0.0,0.0,0.0
Zhonghua Guo,1,0.0,0.0,0.0
Zhong Hongbo,1,0.0,0.0,0.0
Zhizhou Tian,1,0.0,0.0,0.0
Zhiyuan Yang,1,0.0,0.0,0.0
Zhiyi Sun,1,0.0,0.0,0.0
Zhi Li,2,0.0,0.0,0.0
Zhike Wang,1,0.0,0.0,0.0
Zhi Jin,1,0.0,0.0,0.0
Zhigang Huo,1,0.0,0.0,0.0
Zhichuang SUN,1,0.0,0.0,0.0
ZhiChao Yu,1,0.0,0.0,0.0
Zhenning Xiao,1,0.0,0.0,0.0
Zhenliang Wei,1,0.0,0.0,0.0
Zhenhua Luo,1,0.0,0.0,0.0
Zhenhua HUANG,1,0.0,0.0,0.0
Zhen Han,1,0.0,0.0,0.0
Zhengyu Shen,1,0.0,0.0,0.0
ZhengYuan Liu,1,0.0,0.0,0.0
Zheng Xiaowei,1,0.0,0.0,0.0
Zheng XiaoJun,1,0.0,0.0,0.0
Zheng Wei,3,0.0,0.0,0.0
Zhengwang Ruan,1,0.0,0.0,0.0
zheng li,1,0.0,0.0,0.0
Zhenfang Wang,2,0.0,0.0,0.0
zhendong chen,1,0.0,0.0,0.0
ZH Chen,1,0.0,0.0,0.0
zhao zhang,1,0.0,0.0,0.0
Zhaoxiong Yuan,1,0.0,0.0,0.0
Zhao Junwang,1,0.0,0.0,0.0
Zhang Zhuoyu,1,0.0,0.0,0.0
Zhang Ying-22455,1,0.0,0.0,0.0
Zhang Xiao,1,0.0,0.0,0.0
Zhang xiantao,1,0.0,0.0,0.0
Zhang Run,1,0.0,0.0,0.0
zhang kai,2,0.0,0.0,0.0
zhang jun,1,0.0,0.0,0.0
Zhangjie \(HZ\),1,0.0,0.0,0.0
Zhang Huan,1,0.0,0.0,0.0
Zhanghaoyu (A),1,0.0,0.0,0.0
Zhang Haoyu,1,0.0,0.0,0.0
Zhang Hang,1,0.0,0.0,0.0
Zhang Chunyu,1,0.0,0.0,0.0
Zha Bin,1,0.0,0.0,0.0
Zenon Fortuna,1,0.0,0.0,0.0
Zeng Zhaoxiu,1,0.0,0.0,0.0
Zeng Xin,1,0.0,0.0,0.0
Zeev Zilberman,1,0.0,0.0,0.0
Zeev Tarantov,1,0.0,0.0,0.0
Zdenek Pavlas,1,0.0,0.0,0.0
Zdenek Kaspar,1,0.0,0.0,0.0
Zbynek Michl,1,0.0,0.0,0.0
Zakharov Vlad,1,0.0,0.0,0.0
Zahari Petkov,1,0.0,0.0,0.0
Zack Weinberg,1,0.0,0.0,0.0
Zack Rusin,1,0.0,0.0,0.0
Zach Smith,1,0.0,0.0,0.0
Zach Sadecki,1,0.0,0.0,0.0
Zach Ploskey,1,0.0,0.0,0.0
Zach Carter,1,0.0,0.0,0.0
Zach Bobroff,1,0.0,0.0,0.0
Zachary Ware,1,0.0,0.0,0.0
Zachary Hays,1,0.0,0.0,0.0
Zac Bowling,1,0.0,0.0,0.0
Yvan Seth,1,0.0,0.0,0.0
Yvain THONNART,1,0.0,0.0,0.0
yuzheng ma,1,0.0,0.0,0.0
Yu Yue,1,0.0,0.0,0.0
Yu-Yen Ting,1,0.0,0.0,0.0
Yuya Kusakabe,3,0.0,0.0,0.0
Yuya Fujita,1,0.0,0.0,0.0
Yuxuan Shui,2,0.0,0.0,0.0
Yuvaraja Mariappan,1,0.0,0.0,0.0
Yutaro Ebihara,1,0.0,0.0,0.0
Yuta Ando,1,0.0,0.0,0.0
Yusuke Suzuki,1,0.0,0.0,0.0
Yusuf Iskenderoglu,1,0.0,0.0,0.0
Yusuf Altin,1,0.0,0.0,0.0
Yury Georgievskiy,1,0.0,0.0,0.0
Yuriy Kozlov,1,0.0,0.0,0.0
Yuri Matylitski,1,0.0,0.0,0.0
Yurii Pavlenko,1,0.0,0.0,0.0
Yuri Gushin,1,0.0,0.0,0.0
Yuri Funduryan,1,0.0,0.0,0.0
Yuri Chislov,1,0.0,0.0,0.0
Yura Pakhuchiy,1,0.0,0.0,0.0
yuqi jin,1,0.0,0.0,0.0
Yuping Luo,1,0.0,0.0,0.0
Yunying Sun,1,0.0,0.0,0.0
Yun Wang,1,0.0,0.0,0.0
YunQiang Su,2,0.5,849101.5,849101.5
Yunlian Jiang,1,0.0,0.0,0.0
Yuming Han,1,0.0,0.0,0.0
yu liu,1,0.0,0.0,0.0
Yulia Vilensky,1,0.0,0.0,0.0
Yulia Kartseva,1,0.0,0.0,0.0
Yulei Zhang,1,0.0,0.0,0.0
Yuki Tsunashima,1,0.0,0.0,0.0
Yuki Taguchi,1,0.0,0.0,0.0
Yuki Shibuya,1,0.0,0.0,0.0
Yu Ke,1,0.0,0.0,0.0
Yuji Sasaki,1,0.0,0.0,0.0
Yufen Wang,1,0.0,0.0,0.0
Yue Zhang,1,0.0,0.0,0.0
Yuejie Shi,1,0.0,0.0,0.0
Yu Chao,1,0.0,0.0,0.0
Yubo Xie,1,0.0,0.0,0.0
Yuanyuan Zhong,1,0.0,0.0,0.0
YuanTian Tang,1,0.0,0.0,0.0
Yuan Pengfei,1,0.0,0.0,0.0
Yuan Liu,1,0.0,0.0,0.0
Yuan Jiangli,1,0.0,0.0,0.0
Yuanfang Chen,1,0.0,0.0,0.0
Yrjan Skrimstad,1,0.0,0.0,0.0
Yousef Lamlum,1,0.0,0.0,0.0
Youri Querry,4,0.0,0.0,0.0
Youngjun Cho,1,0.0,0.0,0.0
Young-Gun Jang,1,0.0,0.0,0.0
young dave,1,0.0,0.0,0.0
Yotam Medini,1,0.0,0.0,0.0
Yotam Kenneth,1,0.0,0.0,0.0
Yosuke Iwamatsu,1,0.0,0.0,0.0
Yossi Mansharoff,1,0.0,0.0,0.0
Yoshiya Matsuzaka,1,0.0,0.0,0.0
Yoshio Furuyama,5,0.0,0.0,0.0
Yoshikazu Fujikawa,1,0.0,0.0,0.0
Yoshiji Amagai,1,0.0,0.0,0.0
Yoshihiko Mori,1,0.0,0.0,0.0
Yoshifumi Uemura,1,0.0,0.0,0.0
Yoshifumi Nishida,1,0.0,0.0,0.0
Yoshiaki Okamoto,1,0.0,0.0,0.0
Yongxin Liu,1,0.0,0.0,0.0
Yongsul Oh,1,0.0,0.0,0.0
Yongseok Koh,1,0.0,0.0,0.0
Yongqin Liu,1,0.0,0.0,0.0
Yonglong Wu,1,0.0,0.0,0.0
Yongkai Wu,1,0.0,0.0,0.0
Yonghyun Hwang,1,0.0,0.0,0.0
yonghua zheng,1,0.0,0.0,0.0
Yonghan Ye,1,0.0,0.0,0.0
Yong Ding,1,0.0,0.0,0.0
Yonatan Goldschmidt,1,0.0,0.0,0.0
YOKOTA Hiroshi,1,0.0,0.0,0.0
Yohei Kanemaru,1,0.0,0.0,0.0
Yohan Pipereau,1,0.0,0.0,0.0
Yogeswaran Thulasidoss,1,0.0,0.0,0.0
Yogesh Siraswar,1,0.0,0.0,0.0
Yogesh Chaudhari,1,0.0,0.0,0.0
Yoav Zach,1,0.0,0.0,0.0
Yoav Steinberg,1,0.0,0.0,0.0
Yoann DI-RUZZA,1,0.0,0.0,0.0
Yi Zhao,1,0.0,0.0,0.0
Yitian Bu,1,0.0,0.0,0.0
Yipeng Yao,1,0.0,0.0,0.0
Yingtai Xie,1,0.0,0.0,0.0
Ying Huang,1,0.0,0.0,0.0
Yinghao Xie,1,0.0,0.0,0.0
Yingchao Zhou,1,0.0,0.0,0.0
Ying Cai,1,0.0,0.0,0.0
Yin Fengwei,1,0.0,0.0,0.0
Yilun Lin,1,0.0,0.0,0.0
Yilu Mao,1,0.0,0.0,0.0
Yi Liu,1,0.0,0.0,0.0
Yihui ZENG,1,0.0,0.0,0.0
YiFei Zhu,3,0.0,0.0,0.0
Yifan Zhang,2,0.0,0.0,0.0
Yidong Ren,1,0.0,0.0,0.0
Yicong Yang,8,0.0,0.0,0.0
Yichen Zhao,1,0.0,0.0,0.0
Yicheng Li,2,0.0,0.0,0.0
Yibo Zhao,3,0.0,0.0,0.0
Yiannis Marangos,1,0.0,0.0,0.0
Yian Chen,1,0.0,0.0,0.0
Yevgeny Pats,1,0.0,0.0,0.0
Yevgen Pronenko,1,0.0,0.0,0.0
Yevgeniy Melnichuk,1,0.0,0.0,0.0
yeongjun Kim,1,0.0,0.0,0.0
Yen Lin,1,0.0,0.0,0.0
ye janboe,1,0.0,0.0,0.0
Yehuda Yitschak,1,0.0,0.0,0.0
Yehezkel Bernat,1,0.0,0.0,0.0
Yasuyuki KOZAKAI,1,0.0,0.0,0.0
Yassin Jaffer,1,0.0,0.0,0.0
Yasser Shalabi,1,0.0,0.0,0.0
Yash Omer,1,0.0,0.0,0.0
Yaroslav Isakov,1,0.0,0.0,0.0
Yao Xiwei,1,0.0,0.0,0.0
Yaogong Wang,1,1.0,547537.0,547537.0
Yaodong Li,1,0.0,0.0,0.0
Yao Chen,1,0.0,0.0,0.0
Yan Zhu,1,0.0,0.0,0.0
yanyan kang,2,0.0,0.0,0.0
Yan Wang,1,0.0,0.0,0.0
Yannik Schmidt,1,0.0,0.0,0.0
Yannick Loeck,1,0.0,0.0,0.0
Yannick Heneault,1,0.0,0.0,0.0
Yannick Cote,1,0.0,0.0,0.0
Yann Chachkoff,1,0.0,0.0,0.0
Yann Cantin,1,0.0,0.0,0.0
Yan Laijun,1,1.0,76652347.0,76652347.0
Yaniv Machani,1,0.0,0.0,0.0
Yanis Moreno,1,0.0,0.0,0.0
Yanhu Cao,1,0.0,0.0,0.0
Yang Zhong,1,0.0,0.0,0.0
Yang Zhao,1,0.0,0.0,0.0
Yang Yang,1,0.0,0.0,0.0
Yang Xu,1,0.0,0.0,0.0
Yang Xiaowei,1,0.0,0.0,0.0
Yang Tao,1,0.0,0.0,0.0
yang sheng,1,0.0,0.0,0.0
Yang QU,1,0.0,0.0,0.0
Yang Jiaxun,1,0.0,0.0,0.0
Yangchun Fu,1,1.0,1551171.0,1551171.0
Yang Bo,1,0.0,0.0,0.0
Yandong Zhao,1,0.0,0.0,0.0
Yakui Zhao,1,0.0,0.0,0.0
Yakov Lerner,1,0.0,0.0,0.0
Yadi Hu,1,0.0,0.0,0.0
Yadav Lamichhane,1,0.0,0.0,0.0
Xu Yilun,4,0.0,0.0,0.0
Xu Jianqun,1,0.0,0.0,0.0
Xu Gang,1,0.0,0.0,0.0
Xue Ying,1,0.0,0.0,0.0
Xuehan Xu,1,0.0,0.0,0.0
Xuefeng Wang,1,0.0,0.0,0.0
Xudong Chen,1,0.0,0.0,0.0
Xu Cang,1,0.0,0.0,0.0
Xoan Loureiro,1,0.0,0.0,0.0
Xiyu Yang,32,0.0,0.0,0.0
Xi Ruoyao,1,0.0,0.0,0.0
Xiong Huang,1,0.0,0.0,0.0
Xinyu Lin,1,0.0,0.0,0.0
Xinyu Chen,1,0.0,0.0,0.0
Xin Xie,1,0.0,0.0,0.0
Xinpeng Liu,1,0.0,0.0,0.0
xing wei,1,0.0,0.0,0.0
Xi Kangjie,1,0.0,0.0,0.0
Xie Yongji,1,0.0,0.0,0.0
Xie Qirong,1,0.0,0.0,0.0
Xia Yang,1,0.0,0.0,0.0
Xiaoyu Du,1,0.0,0.0,0.0
Xiao Yao,1,0.0,0.0,0.0
Xiaotong Lu,1,0.0,0.0,0.0
Xiaotao Yin,1,0.0,0.0,0.0
xiao ruizhu,1,0.0,0.0,0.0
Xiaolong Ye,1,0.0,0.0,0.0
Xiaolong Huang,1,0.0,0.0,0.0
Xiaolong CHEN,1,0.0,0.0,0.0
Xiaolong Chen,1,0.0,0.0,0.0
Xiao Kaijian,1,0.0,0.0,0.0
Xiaojun Sang,1,0.0,0.0,0.0
Xiao Han,1,0.0,0.0,0.0
Xiaofeng Fei,1,0.0,0.0,0.0
Xiaofei Shen,1,0.0,0.0,0.0
Xiaofan Tian,1,0.0,0.0,0.0
Xiaobing Tu,1,0.0,0.0,0.0
xiaobing tu,1,0.0,0.0,0.0
Xiang Zheng,1,0.0,0.0,0.0
Xiangyu Lu,1,0.0,0.0,0.0
Xiangning Yu,1,0.0,0.0,0.0
xiangliang yu,1,0.0,0.0,0.0
Xerox Lin,1,0.0,0.0,0.0
Xavier Ruppen,1,0.0,0.0,0.0
Xavier Roche,1,0.0,0.0,0.0
Xavier Naveira,1,0.0,0.0,0.0
Xavier Gnata,1,0.0,0.0,0.0
Xavier Chantry,1,0.0,0.0,0.0
Xaralampos Mainas,1,0.0,0.0,0.0
Xander Hover,1,0.0,0.0,0.0
wzt wzt,1,0.0,0.0,0.0
wu zhangjin,1,0.0,0.0,0.0
Wu Libin,1,0.0,0.0,0.0
Wu Fei,1,0.0,0.0,0.0
Wouter Paesen,1,0.0,0.0,0.0
Woohyung Jeon,1,0.0,0.0,0.0
Woogyom Kim,1,0.0,0.0,0.0
Wonil Choi,1,0.0,0.0,0.0
Wolfram Joost,1,0.0,0.0,0.0
Wolfgang Zarre,1,0.0,0.0,0.0
Wolfgang Wander,1,0.0,0.0,0.0
Wolfgang Walter,1,0.0,0.0,0.0
Wolfgang Steinwender,1,0.0,0.0,0.0
Wolfgang Kroworsch,1,0.0,0.0,0.0
Wolfgang Kroener,1,0.0,0.0,0.0
Wolfgang Illmeyer,1,0.0,0.0,0.0
Wolfgang Glas,1,0.0,0.0,0.0
Wolfgang Frisch,1,0.0,0.0,0.0
Wolfgang Breyha,1,0.0,0.0,0.0
Wolfgang Bail,1,0.0,0.0,0.0
Wolffhardt Schwabe,1,0.0,0.0,0.0
Wojciech Migda,1,0.0,0.0,0.0
wojciech kapuscinski,1,0.0,0.0,0.0
Witold Krecicki,1,0.0,0.0,0.0
Witold Filipczyk,1,0.0,0.0,0.0
Witold Baryluk,1,0.0,0.0,0.0
Winter Wang,1,0.0,0.0,0.0
Wim Colgate,1,0.0,0.0,0.0
Wim Coekaerts,1,0.0,0.0,0.0
Wilson Michaels,1,0.0,0.0,0.0
Wilson Ding,1,1.0,10442039.0,10442039.0
Willy WOLFF,1,0.0,0.0,0.0
Willy Wolff,2,0.0,0.0,0.0
